id,order_id,product,category,quantity,price,date
1,1,Keyboard,Electronics,1,30,2024-10-19
2,2,Notebook,Stationery,2,5,2024-08-11
3,3,Keyboard,Electronics,5,30,2024-07-15
4,4,Headphones,Electronics,4,80,2024-06-17
5,5,Mouse,Electronics,1,20,2024-09-20
6,6,Notebook,Stationery,5,5,2025-04-05
7,7,Mouse,Electronics,5,20,2024-09-10
8,8,Water Bottle,Accessories,4,10,2024-09-21
9,9,Desk Lamp,Furniture,5,35,2024-10-21
10,10,Mouse,Electronics,2,20,2025-05-24
11,11,Charger,Electronics,3,25,2024-10-21
12,12,Monitor,Electronics,2,150,2024-11-20
13,13,Keyboard,Electronics,1,30,2024-12-12
14,14,Keyboard,Electronics,3,30,2024-11-24
15,15,Headphones,Electronics,3,80,2024-06-23
16,16,Desk Lamp,Furniture,5,35,2024-08-03
17,17,Charger,Electronics,1,25,2025-03-10
18,18,Pen,Stationery,5,2,2024-12-03
19,19,Headphones,Electronics,2,80,2025-05-27
20,20,Keyboard,Electronics,1,30,2025-05-05
21,21,Notebook,Stationery,3,5,2024-07-11
22,22,Notebook,Stationery,1,5,2024-12-12
23,23,Pen,Stationery,4,2,2025-04-22
24,24,Backpack,Accessories,2,45,2024-12-07
25,25,Backpack,Accessories,2,45,2025-05-10
26,26,Pen,Stationery,1,2,2025-04-08
27,27,Monitor,Electronics,5,150,2024-10-04
28,28,Monitor,Electronics,4,150,2024-12-12
29,29,Pen,Stationery,5,2,2024-09-21
30,30,Backpack,Accessories,1,45,2024-09-26
31,31,Mouse,Electronics,3,20,2024-12-23
32,32,Pen,Stationery,1,2,2024-09-17
33,33,Headphones,Electronics,3,80,2024-09-17
34,34,Desk Lamp,Furniture,4,35,2025-04-26
35,35,Desk Lamp,Furniture,2,35,2024-10-14
36,36,Monitor,Electronics,2,150,2025-03-15
37,37,Water Bottle,Accessories,3,10,2025-03-27
38,38,Charger,Electronics,5,25,2024-12-22
39,39,Backpack,Accessories,2,45,2024-08-10
40,40,Water Bottle,Accessories,4,10,2024-07-17
41,41,Mouse,Electronics,1,20,2024-08-18
42,42,Monitor,Electronics,4,150,2025-04-02
43,43,Keyboard,Electronics,4,30,2024-12-13
44,44,Headphones,Electronics,4,80,2025-02-26
45,45,Pen,Stationery,5,2,2024-06-06
46,46,Keyboard,Electronics,5,30,2024-10-15
47,47,Backpack,Accessories,1,45,2024-10-29
48,48,Charger,Electronics,2,25,2025-01-19
49,49,Mouse,Electronics,3,20,2025-02-12
50,50,Monitor,Electronics,5,150,2024-07-25
51,51,Pen,Stationery,5,2,2025-04-08
52,52,Notebook,Stationery,2,5,2024-12-09
53,53,Monitor,Electronics,5,150,2025-02-27
54,54,Mouse,Electronics,5,20,2024-11-13
55,55,Desk Lamp,Furniture,1,35,2024-07-28
56,56,Backpack,Accessories,3,45,2024-10-01
57,57,Mouse,Electronics,2,20,2025-03-18
58,58,Keyboard,Electronics,1,30,2025-02-04
59,59,Keyboard,Electronics,5,30,2024-08-04
60,60,Monitor,Electronics,4,150,2025-03-09
61,61,Monitor,Electronics,3,150,2025-02-26
62,62,Headphones,Electronics,4,80,2024-09-17
63,63,Water Bottle,Accessories,2,10,2024-11-07
64,64,Charger,Electronics,3,25,2025-01-11
65,65,Water Bottle,Accessories,4,10,2024-08-01
66,66,Notebook,Stationery,2,5,2024-07-03
67,67,Backpack,Accessories,1,45,2025-03-29
68,68,Water Bottle,Accessories,2,10,2025-03-29
69,69,Notebook,Stationery,1,5,2024-07-07
70,70,Mouse,Electronics,2,20,2024-07-05
71,71,Mouse,Electronics,3,20,2024-07-07
72,72,Water Bottle,Accessories,2,10,2024-10-21
73,73,Desk Lamp,Furniture,2,35,2025-03-04
74,74,Monitor,Electronics,5,150,2025-03-23
75,75,Desk Lamp,Furniture,2,35,2025-01-29
76,76,Charger,Electronics,2,25,2024-07-19
77,77,Keyboard,Electronics,4,30,2024-11-29
78,78,Charger,Electronics,4,25,2025-01-26
79,79,Mouse,Electronics,1,20,2024-07-02
80,80,Charger,Electronics,3,25,2024-07-26
81,81,Notebook,Stationery,2,5,2024-09-06
82,82,Water Bottle,Accessories,4,10,2024-08-11
83,83,Charger,Electronics,2,25,2024-10-21
84,84,Desk Lamp,Furniture,2,35,2024-07-09
85,85,Desk Lamp,Furniture,5,35,2024-07-21
86,86,Mouse,Electronics,5,20,2024-06-08
87,87,Keyboard,Electronics,2,30,2024-08-25
88,88,Charger,Electronics,4,25,2025-02-02
89,89,Notebook,Stationery,4,5,2024-07-01
90,90,Monitor,Electronics,4,150,2024-06-02
91,91,Charger,Electronics,3,25,2025-01-19
92,92,Pen,Stationery,4,2,2025-05-23
93,93,Water Bottle,Accessories,4,10,2024-08-19
94,94,Notebook,Stationery,3,5,2024-09-20
95,95,Mouse,Electronics,5,20,2025-03-05
96,96,Mouse,Electronics,3,20,2024-06-30
97,97,Mouse,Electronics,5,20,2025-01-31
98,98,Water Bottle,Accessories,5,10,2024-08-20
99,99,Mouse,Electronics,5,20,2024-07-12
100,100,Monitor,Electronics,1,150,2025-04-01
101,101,Keyboard,Electronics,2,30,2024-12-24
102,102,Keyboard,Electronics,5,30,2024-10-05
103,103,Headphones,Electronics,5,80,2024-06-21
104,104,Headphones,Electronics,1,80,2025-01-01
105,105,Headphones,Electronics,5,80,2025-02-23
106,106,Backpack,Accessories,3,45,2024-09-13
107,107,Backpack,Accessories,2,45,2024-10-14
108,108,Charger,Electronics,2,25,2025-05-10
109,109,Pen,Stationery,4,2,2024-11-09
110,110,Keyboard,Electronics,1,30,2025-01-21
111,111,Headphones,Electronics,5,80,2024-07-22
112,112,Keyboard,Electronics,5,30,2024-09-18
113,113,Water Bottle,Accessories,3,10,2024-08-07
114,114,Backpack,Accessories,1,45,2024-10-04
115,115,Backpack,Accessories,3,45,2024-08-20
116,116,Desk Lamp,Furniture,5,35,2025-05-27
117,117,Pen,Stationery,5,2,2025-05-01
118,118,Water Bottle,Accessories,1,10,2025-05-08
119,119,Water Bottle,Accessories,3,10,2025-05-06
120,120,Keyboard,Electronics,2,30,2024-10-14
121,121,Keyboard,Electronics,1,30,2025-03-11
122,122,Monitor,Electronics,3,150,2024-10-23
123,123,Headphones,Electronics,2,80,2024-11-23
124,124,Notebook,Stationery,3,5,2025-02-14
125,125,Desk Lamp,Furniture,3,35,2024-06-27
126,126,Keyboard,Electronics,4,30,2024-10-20
127,127,Mouse,Electronics,1,20,2024-11-18
128,128,Monitor,Electronics,3,150,2024-08-22
129,129,Desk Lamp,Furniture,5,35,2025-05-28
130,130,Charger,Electronics,5,25,2024-06-05
131,131,Keyboard,Electronics,1,30,2025-05-20
132,132,Monitor,Electronics,5,150,2024-06-19
133,133,Backpack,Accessories,5,45,2025-03-10
134,134,Monitor,Electronics,4,150,2024-08-05
135,135,Mouse,Electronics,3,20,2024-12-04
136,136,Mouse,Electronics,3,20,2024-09-16
137,137,Notebook,Stationery,1,5,2024-11-29
138,138,Water Bottle,Accessories,4,10,2025-04-14
139,139,Monitor,Electronics,2,150,2024-08-23
140,140,Monitor,Electronics,4,150,2024-06-13
141,141,Monitor,Electronics,3,150,2024-12-28
142,142,Notebook,Stationery,3,5,2024-08-21
143,143,Keyboard,Electronics,4,30,2024-06-20
144,144,Desk Lamp,Furniture,2,35,2024-09-11
145,145,Desk Lamp,Furniture,3,35,2024-11-04
146,146,Notebook,Stationery,2,5,2024-06-13
147,147,Notebook,Stationery,4,5,2024-11-16
148,148,Pen,Stationery,1,2,2024-10-21
149,149,Backpack,Accessories,5,45,2024-12-22
150,150,Water Bottle,Accessories,3,10,2024-06-15
151,151,Keyboard,Electronics,3,30,2024-08-31
152,152,Headphones,Electronics,3,80,2024-06-20
153,153,Keyboard,Electronics,5,30,2025-01-09
154,154,Backpack,Accessories,3,45,2025-01-10
155,155,Headphones,Electronics,5,80,2024-07-30
156,156,Charger,Electronics,5,25,2024-09-06
157,157,Pen,Stationery,1,2,2025-05-29
158,158,Charger,Electronics,1,25,2025-02-22
159,159,Water Bottle,Accessories,2,10,2024-12-04
160,160,Charger,Electronics,1,25,2025-05-07
161,161,Backpack,Accessories,5,45,2024-11-08
162,162,Keyboard,Electronics,3,30,2025-02-15
163,163,Pen,Stationery,4,2,2024-11-15
164,164,Charger,Electronics,3,25,2025-03-11
165,165,Monitor,Electronics,2,150,2025-01-02
166,166,Charger,Electronics,2,25,2025-04-12
167,167,Headphones,Electronics,3,80,2024-12-25
168,168,Water Bottle,Accessories,1,10,2024-11-03
169,169,Pen,Stationery,2,2,2025-01-07
170,170,Headphones,Electronics,5,80,2025-05-02
171,171,Backpack,Accessories,4,45,2025-01-13
172,172,Desk Lamp,Furniture,2,35,2025-02-17
173,173,Desk Lamp,Furniture,2,35,2025-05-04
174,174,Keyboard,Electronics,3,30,2025-02-19
175,175,Headphones,Electronics,3,80,2024-07-18
176,176,Notebook,Stationery,3,5,2024-09-24
177,177,Notebook,Stationery,2,5,2024-06-13
178,178,Mouse,Electronics,2,20,2025-01-30
179,179,Headphones,Electronics,1,80,2025-01-20
180,180,Charger,Electronics,5,25,2024-09-08
181,181,Charger,Electronics,4,25,2024-12-22
182,182,Notebook,Stationery,2,5,2025-05-02
183,183,Mouse,Electronics,1,20,2025-01-04
184,184,Notebook,Stationery,2,5,2025-05-23
185,185,Water Bottle,Accessories,4,10,2024-06-26
186,186,Water Bottle,Accessories,2,10,2024-08-02
187,187,Desk Lamp,Furniture,2,35,2025-01-24
188,188,Water Bottle,Accessories,5,10,2025-04-01
189,189,Backpack,Accessories,4,45,2025-04-10
190,190,Water Bottle,Accessories,4,10,2025-03-08
191,191,Desk Lamp,Furniture,2,35,2025-01-30
192,192,Desk Lamp,Furniture,3,35,2024-10-05
193,193,Pen,Stationery,5,2,2025-02-04
194,194,Notebook,Stationery,3,5,2025-01-12
195,195,Keyboard,Electronics,3,30,2024-09-29
196,196,Pen,Stationery,3,2,2024-11-11
197,197,Water Bottle,Accessories,1,10,2024-08-10
198,198,Monitor,Electronics,2,150,2024-12-14
199,199,Monitor,Electronics,2,150,2024-07-03
200,200,Charger,Electronics,4,25,2024-11-17
201,201,Water Bottle,Accessories,4,10,2024-12-30
202,202,Mouse,Electronics,2,20,2025-01-02
203,203,Charger,Electronics,5,25,2025-05-23
204,204,Mouse,Electronics,5,20,2024-12-12
205,205,Desk Lamp,Furniture,1,35,2024-11-28
206,206,Pen,Stationery,4,2,2025-01-01
207,207,Water Bottle,Accessories,5,10,2025-04-05
208,208,Notebook,Stationery,4,5,2024-09-21
209,209,Pen,Stationery,4,2,2025-02-04
210,210,Mouse,Electronics,4,20,2024-11-20
211,211,Charger,Electronics,2,25,2025-01-26
212,212,Monitor,Electronics,5,150,2025-03-01
213,213,Mouse,Electronics,4,20,2025-03-31
214,214,Headphones,Electronics,1,80,2024-07-13
215,215,Charger,Electronics,2,25,2025-01-23
216,216,Monitor,Electronics,1,150,2024-10-12
217,217,Charger,Electronics,3,25,2024-09-17
218,218,Desk Lamp,Furniture,3,35,2024-11-20
219,219,Charger,Electronics,3,25,2025-01-02
220,220,Pen,Stationery,1,2,2025-01-27
221,221,Mouse,Electronics,5,20,2024-06-27
222,222,Backpack,Accessories,2,45,2025-04-29
223,223,Keyboard,Electronics,1,30,2024-06-16
224,224,Notebook,Stationery,2,5,2024-06-11
225,225,Headphones,Electronics,2,80,2024-10-01
226,226,Monitor,Electronics,4,150,2025-05-09
227,227,Keyboard,Electronics,5,30,2024-09-20
228,228,Desk Lamp,Furniture,3,35,2024-12-06
229,229,Monitor,Electronics,5,150,2025-04-07
230,230,Keyboard,Electronics,2,30,2024-11-07
231,231,Keyboard,Electronics,5,30,2024-06-14
232,232,Pen,Stationery,5,2,2025-05-13
233,233,Charger,Electronics,4,25,2024-09-10
234,234,Keyboard,Electronics,5,30,2025-05-20
235,235,Notebook,Stationery,1,5,2025-05-23
236,236,Pen,Stationery,5,2,2024-08-01
237,237,Headphones,Electronics,1,80,2024-11-25
238,238,Water Bottle,Accessories,4,10,2025-05-05
239,239,Backpack,Accessories,1,45,2025-02-15
240,240,Backpack,Accessories,1,45,2025-01-02
241,241,Desk Lamp,Furniture,1,35,2025-01-08
242,242,Backpack,Accessories,4,45,2025-05-29
243,243,Monitor,Electronics,4,150,2024-08-30
244,244,Water Bottle,Accessories,3,10,2025-04-12
245,245,Water Bottle,Accessories,4,10,2025-01-25
246,246,Charger,Electronics,5,25,2024-10-16
247,247,Backpack,Accessories,2,45,2024-07-15
248,248,Pen,Stationery,4,2,2024-10-03
249,249,Desk Lamp,Furniture,5,35,2025-04-09
250,250,Charger,Electronics,3,25,2024-06-15
251,251,Desk Lamp,Furniture,3,35,2024-09-02
252,252,Desk Lamp,Furniture,2,35,2024-11-29
253,253,Pen,Stationery,3,2,2024-10-22
254,254,Headphones,Electronics,3,80,2025-03-12
255,255,Mouse,Electronics,5,20,2024-09-06
256,256,Keyboard,Electronics,2,30,2024-12-26
257,257,Desk Lamp,Furniture,5,35,2024-10-02
258,258,Desk Lamp,Furniture,4,35,2025-01-16
259,259,Mouse,Electronics,1,20,2024-10-29
260,260,Notebook,Stationery,4,5,2025-05-21
261,261,Notebook,Stationery,3,5,2025-05-06
262,262,Headphones,Electronics,3,80,2025-01-29
263,263,Water Bottle,Accessories,5,10,2024-11-24
264,264,Charger,Electronics,5,25,2024-11-17
265,265,Backpack,Accessories,4,45,2024-10-17
266,266,Pen,Stationery,3,2,2024-09-27
267,267,Keyboard,Electronics,2,30,2024-11-09
268,268,Keyboard,Electronics,5,30,2025-05-20
269,269,Monitor,Electronics,2,150,2024-09-19
270,270,Desk Lamp,Furniture,3,35,2025-03-29
271,271,Water Bottle,Accessories,5,10,2024-10-23
272,272,Keyboard,Electronics,2,30,2024-10-30
273,273,Notebook,Stationery,3,5,2024-08-31
274,274,Pen,Stationery,1,2,2025-05-29
275,275,Water Bottle,Accessories,2,10,2024-10-19
276,276,Mouse,Electronics,1,20,2025-03-11
277,277,Pen,Stationery,2,2,2025-04-23
278,278,Desk Lamp,Furniture,1,35,2024-06-07
279,279,Headphones,Electronics,3,80,2025-01-27
280,280,Desk Lamp,Furniture,4,35,2024-11-22
281,281,Monitor,Electronics,1,150,2024-10-08
282,282,Desk Lamp,Furniture,1,35,2024-07-04
283,283,Charger,Electronics,4,25,2024-07-08
284,284,Headphones,Electronics,1,80,2024-08-17
285,285,Monitor,Electronics,5,150,2024-11-03
286,286,Keyboard,Electronics,2,30,2024-07-31
287,287,Water Bottle,Accessories,4,10,2025-04-07
288,288,Headphones,Electronics,5,80,2024-09-24
289,289,Water Bottle,Accessories,4,10,2025-01-17
290,290,Desk Lamp,Furniture,3,35,2025-03-29
291,291,Charger,Electronics,3,25,2025-03-19
292,292,Headphones,Electronics,1,80,2025-04-09
293,293,Keyboard,Electronics,2,30,2025-04-17
294,294,Notebook,Stationery,3,5,2025-05-05
295,295,Keyboard,Electronics,2,30,2024-10-01
296,296,Monitor,Electronics,5,150,2024-07-09
297,297,Monitor,Electronics,1,150,2024-12-27
298,298,Desk Lamp,Furniture,5,35,2025-01-27
299,299,Pen,Stationery,1,2,2024-09-27
